Postcode,Parish,Borough,Neighborhood,Longitude,Latitude
090101,Ayacucho,Downtown  Guayaquil,Ayacucho,-79.890106,-2.210537
090102,Bolívar,Southeast Guayaquil,Bolívar (Sagrario),-79.890021,-2.201835
090103,Carbo,Southeast Guayaquil,Carbo (Concepción),-79.880388,-2.187644
090104,Febres Cordero,Southeast Guayaquil,"Abel Gilbert, Batallón del Suburbio, Estero Salado, Febres Cordero.",-79.923126,-2.195226
090105,García Moreno,Southeast Guayaquil,García Moreno,-79.900845,-2.21422
090106,Letamendi,Southeast Guayaquil,"Letamendi, Puerto Lisa.",-79.911136,-2.212051
090107,Nueve De Octubre,Central Guayaquil,Nueve de Octubre Oeste.,-79.893237,-2.189603
090108,Olmedo,Southeast Guayaquil,Olmedo (San Alejo).,-79.885288,-2.203112
090109,Roca,Southeast Guayaquil,Roca,-79.885523,-2.186729
090110,Rocafuerte,Southeast Guayaquil,Rocafuerte,-79.886083,-2.194642
0090111,Sucre,Southeast Guayaquil,Sucre,-79.897066,-2.201498
090112,Tarqui,North Guayaquil,"Acuarela, Comegua, Brisas del Rio, Limonal, Juan Pablo II, Alborada Este, Alborada Oeste, Bellavista",-79.905822,-2.125677
090113,Urdaneta,Southeast Guayaquil,Garay,-79.906624,-2.19664
090114,Ximena,South Guayaquil,"Centenario, Cuba, Del Astillero, Floresta, Guangala, Guasmo Este, Guasmo Oeste, Huancavilca, Isla Trinitaria",-79.894642,-2.212882
090115,Chongon,West Guayaquil,"Puerto Azul Norte, Puerto Azul Sur",-80.080779,-2.233158
090116,Pascuales,North West Guayaquil,"Bastión Popular, Las Orquídeas Este, Las Orquídeas Oeste, Los Vergeles",-79.93242,-2.071827
